0, 4509;1, 205; RSS_KB=192540
0, 4509;1, 205; RSS_KB=6176220
0, 4492;1, 205; RSS_KB=11157596
0, 4492;1, 205; RSS_KB=14803464
0, 4492;1, 205; RSS_KB=16082300
0, 4491;1, 205; RSS_KB=19327120
0, 4497;1, 205; RSS_KB=18503272
0, 4729;1, 205; RSS_KB=19379440
0, 14370;1, 205; RSS_KB=19692692
0, 14564;1, 205; RSS_KB=19909524
0, 14554;1, 205; RSS_KB=20126360
0, 14554;1, 205; RSS_KB=20343004
0, 14539;1, 205; RSS_KB=20343004
0, 14539;1, 205; RSS_KB=20559644
0, 14541;1, 205; RSS_KB=20776096
0, 14541;1, 205; RSS_KB=20992544
0, 14547;1, 205; RSS_KB=21207676
0, 14566;1, 205; RSS_KB=21207676
0, 14566;1, 205; RSS_KB=21422800
0, 14566;1, 205; RSS_KB=21638116
0, 14558;1, 205; RSS_KB=21854756
0, 14543;1, 205; RSS_KB=22069888
0, 14543;1, 205; RSS_KB=22069888
0, 14543;1, 205; RSS_KB=22285016
0, 14558;1, 205; RSS_KB=22500144
0, 14554;1, 205; RSS_KB=22715272
0, 14545;1, 205; RSS_KB=22930396
0, 14545;1, 205; RSS_KB=22930396
0, 14545;1, 205; RSS_KB=23145528
0, 14545;1, 205; RSS_KB=23360752
0, 14545;1, 205; RSS_KB=23575880
0, 14553;1, 205; RSS_KB=23792328
0, 14553;1, 205; RSS_KB=23792328
0, 14553;1, 205; RSS_KB=24007464
0, 14555;1, 205; RSS_KB=24222592
0, 6084;1, 205; RSS_KB=24437716
0, 14612;1, 205; RSS_KB=24437716
0, 14677;1, 205; RSS_KB=24652848
0, 14675;1, 205; RSS_KB=24867972
0, 14624;1, 205; RSS_KB=25083100
0, 14596;1, 205; RSS_KB=25083100
0, 14600;1, 205; RSS_KB=25298232
0, 14610;1, 205; RSS_KB=25513356
0, 14608;1, 205; RSS_KB=25728488
0, 14604;1, 205; RSS_KB=25943616
0, 14612;1, 205; RSS_KB=25943616
0, 14725;1, 205; RSS_KB=26158740
0, 14793;1, 205; RSS_KB=26373872
0, 14772;1, 205; RSS_KB=26589000
0, 14776;1, 205; RSS_KB=26589000
0, 14777;1, 205; RSS_KB=26804128
0, 14622;1, 205; RSS_KB=27019256
0, 14613;1, 205; RSS_KB=27234384
0, 6244;1, 205; RSS_KB=27449512
0, 14605;1, 205; RSS_KB=27449512
0, 14609;1, 205; RSS_KB=27664640
0, 14558;1, 205; RSS_KB=27879764
0, 14578;1, 205; RSS_KB=28094912
0, 5961;1, 205; RSS_KB=28310492
0, 14540;1, 205; RSS_KB=28310044
0, 14550;1, 205; RSS_KB=28525172
0, 14532;1, 205; RSS_KB=28740300
0, 14581;1, 205; RSS_KB=28955428
0, 14572;1, 205; RSS_KB=28955428
0, 14550;1, 205; RSS_KB=29170560
0, 14526;1, 205; RSS_KB=29385688
0, 14525;1, 205; RSS_KB=29600828
0, 14498;1, 205; RSS_KB=29600828
0, 14526;1, 205; RSS_KB=29815956
0, 14614;1, 205; RSS_KB=30031088
0, 14594;1, 205; RSS_KB=30246312
0, 14575;1, 205; RSS_KB=30246312
0, 14356;1, 205; RSS_KB=30335724
0, 14545;1, 205; RSS_KB=30335724
0, 14471;1, 205; RSS_KB=30335728
