0, 3710;1, 205; RSS_KB=192656
0, 3699;1, 205; RSS_KB=11672868
0, 3697;1, 205; RSS_KB=19382652
0, 3697;1, 205; RSS_KB=18494908
0, 3926;1, 205; RSS_KB=19308564
0, 5541;1, 205; RSS_KB=20286284
0, 9121;1, 205; RSS_KB=20794856
0, 9767;1, 205; RSS_KB=21365560
0, 7463;1, 205; RSS_KB=22229716
0, 8097;1, 205; RSS_KB=22875144
0, 11236;1, 205; RSS_KB=23519728
0, 11251;1, 205; RSS_KB=24165128
0, 11249;1, 205; RSS_KB=24810612
0, 11249;1, 205; RSS_KB=25455996
0, 11240;1, 205; RSS_KB=26101388
0, 8086;1, 205; RSS_KB=26747768
0, 8088;1, 205; RSS_KB=27392340
0, 11244;1, 205; RSS_KB=28037724
0, 8100;1, 205; RSS_KB=28683108
0, 11256;1, 205; RSS_KB=29329820
0, 11258;1, 205; RSS_KB=29975308
0, 11046;1, 205; RSS_KB=30247620
0, 11047;1, 205; RSS_KB=30192564
0, 11047;1, 205; RSS_KB=29914024
0, 11036;1, 205; RSS_KB=29587176
0, 11248;1, 205; RSS_KB=29263132
0, 11246;1, 205; RSS_KB=29199524
0, 11271;1, 205; RSS_KB=28973924
0, 11271;1, 205; RSS_KB=28643848
0, 11271;1, 205; RSS_KB=28311324
0, 11261;1, 205; RSS_KB=27997880
0, 11248;1, 205; RSS_KB=27820736
0, 11246;1, 205; RSS_KB=27490748
0, 11034;1, 205; RSS_KB=27148328
0, 11034;1, 205; RSS_KB=26805116
0, 11040;1, 205; RSS_KB=26468456
0, 11040;1, 205; RSS_KB=26129712
0, 11261;1, 205; RSS_KB=25893064
0, 11284;1, 205; RSS_KB=25580640
0, 11287;1, 205; RSS_KB=25255628
0, 11306;1, 205; RSS_KB=24938904
0, 11309;1, 205; RSS_KB=24617452
0, 11321;1, 205; RSS_KB=24298036
0, 11320;1, 205; RSS_KB=23973892
0, 11319;1, 205; RSS_KB=23641724
0, 10879;1, 205; RSS_KB=23309612
0, 11113;1, 205; RSS_KB=22931048
0, 11122;1, 205; RSS_KB=22557108
0, 11115;1, 205; RSS_KB=22177648
0, 11327;1, 205; RSS_KB=21845016
0, 11384;1, 205; RSS_KB=21515588
0, 11382;1, 205; RSS_KB=21183500
0, 11347;1, 205; RSS_KB=20846532
0, 11324;1, 205; RSS_KB=20513040
0, 11324;1, 205; RSS_KB=20178816
0, 11327;1, 205; RSS_KB=19935568
0, 11358;1, 205; RSS_KB=19619008
0, 11330;1, 205; RSS_KB=19285752
0, 11207;1, 205; RSS_KB=18868560
0, 11169;1, 205; RSS_KB=18501528
0, 11159;1, 205; RSS_KB=18169124
0, 11387;1, 205; RSS_KB=17833408
0, 11376;1, 205; RSS_KB=17500952
0, 11349;1, 205; RSS_KB=17162060
0, 11345;1, 205; RSS_KB=16828104
0, 11344;1, 205; RSS_KB=16493252
0, 11345;1, 205; RSS_KB=16163196
0, 11370;1, 205; RSS_KB=15723808
0, 11382;1, 205; RSS_KB=15463344
0, 11359;1, 205; RSS_KB=15284476
0, 11154;1, 205; RSS_KB=14844996
0, 11682;1, 205; RSS_KB=14638640
0, 11661;1, 205; RSS_KB=14460380
0, 11881;1, 205; RSS_KB=14101712
0, 12241;1, 205; RSS_KB=13461144
0, 11379;1, 205; RSS_KB=13079164
0, 11410;1, 205; RSS_KB=12982252
0, 12524;1, 205; RSS_KB=12706660
0, 12527;1, 205; RSS_KB=12573008
0, 12593;1, 205; RSS_KB=12425352
0, 12719;1, 205; RSS_KB=12354364
0, 12691;1, 205; RSS_KB=12354364
0, 12476;1, 205; RSS_KB=12354368
0, 12454;1, 205; RSS_KB=12354380
0, 12444;1, 205; RSS_KB=12354400
0, 12424;1, 205; RSS_KB=12354420
0, 12653;1, 205; RSS_KB=12354420
0, 12679;1, 205; RSS_KB=12354424
0, 12703;1, 205; RSS_KB=12354424
0, 12718;1, 205; RSS_KB=12354424
0, 12103;1, 205; RSS_KB=12354424
0, 12102;1, 205; RSS_KB=12354424
0, 12097;1, 205; RSS_KB=12354424
0, 12096;1, 205; RSS_KB=12354424
0, 12083;1, 205; RSS_KB=12354424
0, 11879;1, 205; RSS_KB=12354556
0, 11866;1, 205; RSS_KB=12354556
0, 11845;1, 205; RSS_KB=12203716
0, 12073;1, 205; RSS_KB=12068480
0, 12062;1, 205; RSS_KB=12068480
0, 12077;1, 205; RSS_KB=12068480
0, 12077;1, 205; RSS_KB=12068480
0, 12052;1, 205; RSS_KB=12068508
0, 12067;1, 205; RSS_KB=12068508
0, 12066;1, 205; RSS_KB=12068508
0, 11457;1, 205; RSS_KB=12068508
0, 11473;1, 205; RSS_KB=12068508
0, 11291;1, 205; RSS_KB=12068644
0, 11328;1, 205; RSS_KB=12068644
0, 11319;1, 205; RSS_KB=12068644
0, 11537;1, 205; RSS_KB=12068644
0, 11535;1, 205; RSS_KB=12068644
0, 12111;1, 205; RSS_KB=12068644
0, 12208;1, 205; RSS_KB=12068644
0, 12508;1, 205; RSS_KB=12068644
0, 12509;1, 205; RSS_KB=12068644
0, 12497;1, 205; RSS_KB=12068644
0, 12525;1, 205; RSS_KB=12068644
0, 12565;1, 205; RSS_KB=12068644
0, 12356;1, 205; RSS_KB=12068644
0, 12539;1, 205; RSS_KB=12068644
0, 11844;1, 205; RSS_KB=12068644
0, 11843;1, 205; RSS_KB=12068644
0, 12069;1, 205; RSS_KB=12068644
0, 12369;1, 205; RSS_KB=12068644
0, 12493;1, 205; RSS_KB=12068644
0, 12475;1, 205; RSS_KB=12068644
0, 12480;1, 205; RSS_KB=12068644
0, 12480;1, 205; RSS_KB=12068644
0, 12476;1, 205; RSS_KB=12068644
0, 12433;1, 205; RSS_KB=12068644
0, 11987;1, 205; RSS_KB=12068644
0, 12221;1, 205; RSS_KB=12068644
0, 12231;1, 205; RSS_KB=12068644
0, 12228;1, 205; RSS_KB=12068644
0, 12451;1, 205; RSS_KB=12068644
0, 12428;1, 205; RSS_KB=12068644
0, 12422;1, 205; RSS_KB=12068644
0, 12433;1, 205; RSS_KB=12068644
0, 11749;1, 205; RSS_KB=12068644
0, 11732;1, 205; RSS_KB=12068644
0, 11716;1, 205; RSS_KB=12068644
0, 11732;1, 205; RSS_KB=12068644
0, 11638;1, 205; RSS_KB=12068644
0, 11412;1, 205; RSS_KB=12068644
0, 11401;1, 205; RSS_KB=12068644
0, 11404;1, 205; RSS_KB=12068644
0, 11616;1, 205; RSS_KB=12068644
0, 11631;1, 205; RSS_KB=12068644
0, 11631;1, 205; RSS_KB=12068644
0, 11624;1, 205; RSS_KB=12068644
0, 11622;1, 205; RSS_KB=12068644
0, 11637;1, 205; RSS_KB=12068644
0, 11631;1, 205; RSS_KB=12068644
0, 11620;1, 205; RSS_KB=12068644
0, 11617;1, 205; RSS_KB=12068644
0, 11405;1, 205; RSS_KB=12068644
0, 11597;1, 205; RSS_KB=12068644
0, 11606;1, 205; RSS_KB=12068644
0, 11416;1, 205; RSS_KB=12068644
0, 11668;1, 205; RSS_KB=12068644
0, 11667;1, 205; RSS_KB=12068644
0, 11657;1, 205; RSS_KB=11957060
0, 11639;1, 205; RSS_KB=11718424
0, 11626;1, 205; RSS_KB=11718424
0, 8673;1, 205; RSS_KB=11718424
0, 11615;1, 205; RSS_KB=11718424
0, 11615;1, 205; RSS_KB=11718424
0, 11389;1, 205; RSS_KB=11718424
0, 11376;1, 205; RSS_KB=11718424
0, 11404;1, 205; RSS_KB=11718424
0, 11404;1, 205; RSS_KB=11718424
0, 11613;1, 205; RSS_KB=11718424
0, 11612;1, 205; RSS_KB=11718424
0, 11629;1, 205; RSS_KB=11718424
0, 11629;1, 205; RSS_KB=11718424
0, 11597;1, 205; RSS_KB=11718424
0, 11591;1, 205; RSS_KB=11718424
0, 11595;1, 205; RSS_KB=11718424
0, 11580;1, 205; RSS_KB=11718424
0, 11601;1, 205; RSS_KB=11718424
0, 11389;1, 205; RSS_KB=11718424
0, 11383;1, 205; RSS_KB=11718424
0, 11368;1, 205; RSS_KB=11718424
0, 11593;1, 205; RSS_KB=11718424
0, 11965;1, 205; RSS_KB=11718424
0, 12584;1, 205; RSS_KB=11718424
0, 12658;1, 205; RSS_KB=11718424
0, 12851;1, 205; RSS_KB=11718424
0, 12864;1, 205; RSS_KB=11718424
0, 12876;1, 205; RSS_KB=11718424
0, 12872;1, 205; RSS_KB=11718424
0, 12865;1, 205; RSS_KB=11718424
0, 12667;1, 205; RSS_KB=11718424
0, 12327;1, 205; RSS_KB=11718428
0, 12351;1, 205; RSS_KB=11718428
0, 12562;1, 205; RSS_KB=11718428
0, 11601;1, 205; RSS_KB=11718428
0, 11592;1, 205; RSS_KB=11718428
0, 11689;1, 205; RSS_KB=11718428
0, 11899;1, 205; RSS_KB=11718428
0, 11996;1, 205; RSS_KB=11718428
0, 11987;1, 205; RSS_KB=11718428
0, 11982;1, 205; RSS_KB=11718428
0, 11982;1, 205; RSS_KB=11718428
0, 11521;1, 205; RSS_KB=11718428
0, 11755;1, 205; RSS_KB=11718428
0, 11971;1, 205; RSS_KB=11718428
0, 12583;1, 205; RSS_KB=11718428
0, 12792;1, 205; RSS_KB=11718428
0, 12970;1, 205; RSS_KB=11718428
0, 12994;1, 205; RSS_KB=11718428
0, 10051;1, 205; RSS_KB=11718428
0, 10044;1, 205; RSS_KB=11718428
0, 12861;1, 205; RSS_KB=11718428
0, 12863;1, 205; RSS_KB=11718428
0, 13602;1, 205; RSS_KB=11718428
0, 13524;1, 205; RSS_KB=11718428
0, 13213;1, 205; RSS_KB=11718436
0, 13193;1, 205; RSS_KB=11718436
0, 13181;1, 205; RSS_KB=11718436
0, 13409;1, 205; RSS_KB=11718436
0, 13291;1, 205; RSS_KB=11718436
0, 13221;1, 205; RSS_KB=11718436
0, 13193;1, 205; RSS_KB=11161116
0, 13237;1, 205; RSS_KB=11021172
0, 13229;1, 205; RSS_KB=10888700
0, 13230;1, 205; RSS_KB=10888700
0, 13229;1, 205; RSS_KB=10888700
0, 13449;1, 205; RSS_KB=10888700
0, 12746;1, 205; RSS_KB=10888944
0, 11689;1, 205; RSS_KB=10888944
0, 11684;1, 205; RSS_KB=10888944
0, 11688;1, 205; RSS_KB=10888944
0, 11590;1, 205; RSS_KB=10888944
0, 11623;1, 205; RSS_KB=10888944
0, 11534;1, 205; RSS_KB=10888944
0, 12233;1, 205; RSS_KB=10888944
0, 12242;1, 205; RSS_KB=10888944
0, 12379;1, 205; RSS_KB=10888944
0, 12481;1, 205; RSS_KB=10888944
0, 12498;1, 205; RSS_KB=10888944
0, 12497;1, 205; RSS_KB=10888944
0, 12263;1, 205; RSS_KB=10888944
0, 12245;1, 205; RSS_KB=10888944
0, 12231;1, 205; RSS_KB=10888944
0, 12400;1, 205; RSS_KB=10888944
0, 12400;1, 205; RSS_KB=10888944
0, 12406;1, 205; RSS_KB=10888944
0, 12406;1, 205; RSS_KB=10888944
0, 9464;1, 205; RSS_KB=10888944
0, 12400;1, 205; RSS_KB=10888944
0, 12400;1, 205; RSS_KB=10888944
0, 12400;1, 205; RSS_KB=10888944
0, 12415;1, 205; RSS_KB=10888944
0, 4701;1, 205; RSS_KB=11067004
0, 9328;1, 205; RSS_KB=11787584
0, 9328;1, 205; RSS_KB=11045128
0, 9826;1, 205; RSS_KB=4267536
0, 9825;1, 205; RSS_KB=4267540
0, 9825;1, 205; RSS_KB=4267544
0, 9846;1, 205; RSS_KB=4216884
0, 9918;1, 205; RSS_KB=4375240
0, 9917;1, 205; RSS_KB=4375248
0, 9937;1, 205; RSS_KB=4375252
0, 9937;1, 205; RSS_KB=4321788
0, 9931;1, 205; RSS_KB=4457876
0, 9934;1, 205; RSS_KB=4457880
0, 9945;1, 205; RSS_KB=4457884
0, 9929;1, 205; RSS_KB=4404420
0, 9919;1, 205; RSS_KB=4540512
0, 9958;1, 205; RSS_KB=4540516
0, 9933;1, 205; RSS_KB=4540520
0, 9880;1, 205; RSS_KB=4487056
0, 9880;1, 205; RSS_KB=4623144
0, 9859;1, 205; RSS_KB=4623144
0, 9846;1, 205; RSS_KB=4623144
0, 9317;1, 205; RSS_KB=4210252
0, 9328;1, 205; RSS_KB=4210252
0, 4106;1, 205; RSS_KB=781052
